Name,City,Attachments,Status,Gender,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Have you completed your higher education in Germany?,Your main technology,Just a few more general questions,Company size,Annual Brutto salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",About you (anonymously),Working hours per week
,Munich,,,,,Full-time employee,,Software Engineer,,4,1,Middle,,Other,,,English,No,,,,65000,65000,,,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,10,3,Lead,,C# / .NET,"Javascript / Typescript,NodeJS",3,English,No,,,1000+,83,100000,81000,28,,,,,,
,Munich,,,,,Full-time employee,,Mobile Developer,,8,1,Senior,,Kotlin,"Java / Scala,Kotlin",1,English,No,,,51-100,73000,87000,65000,30,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,7,3,Senior,,Other,,2,"English,Russian",No,,,1000+,70000,75000,,25,,,,,,
,Munich,,,,,Full-time employee,,Scrum Master / Agile Coach,,14,6,Senior,,JavaScript / Typescript,,1,"English,German",No,,,101-1000,70000,0,,29,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,8,5,Middle,,Python,"Python,C / C++,Docker",5,English,No,,,1000+,86000,99000,75000,30,,,,,,
,Munich,,,,,Full-time employee,,Data Scientist,,2,1,Junior,,Python,"Python,SQL,AWS",0,English,Yes,,,11-50,64000,64000,,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,9,2,Lead,,SAP / ABAP,"Javascript / Typescript,NodeJS,SQL",0,"English,German",No,,,101-1000,90000,100000,,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,9,3,Lead,,JavaScript / Typescript,,0,"English,German",No,,,51-100,70000,70000,60000,24,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,6,6,Lead,,Other,Python,3,"English,German,Russian",Yes,VHDL,,101-1000,80000,15000,,30,,,,,,
,Munich,,,,,Full-time employee,,Scrum Master / Agile Coach,,5,3,Senior,,Other,,3,English,No,,,101-1000,100000,110000,90000,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,11,1,Lead,,PHP,"AWS,Docker,Kubernetes,Javascript / Typescript",1,"English,Russian",No,,,51-100,66000,0,,28,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,2,0,Junior,,JavaScript / Typescript,"Java / Scala,Javascript / Typescript",0,English,No,,,101-1000,55000,57000,,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,6,Senior,,JavaScript / Typescript,,2,"English,German,Russian",No,,,51-100,73500,73500,,27,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,8,0,Senior,,Java,"SQL,Docker",0,English,No,,,101-1000,80000,80000,,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,9,6,Senior,,JavaScript / Typescript,"Java / Scala, React",0,"English,German",No,,,1000+,89700,99700,64500,32,,,,,,
,Munich,,,,,Full-time employee,,Engineering Manager,,11,11,Lead,,Java,"Kotlin,Javascript / Typescript,Angular",2,"German,English",Yes,,,51-100,105000,105000,95000,28,,,,,,
,Munich,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,14,0,Middle,,Other,,0,"English,Russian",No,,,1000+,75000,92700,,31,,,,,,
,Munich,,,,,Full-time employee,,ML Engineer,,10,5,Middle,,Python,,2,English,No,,,1000+,105000,105000,90000,26,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,8,1,Senior,,JavaScript / Typescript,"Angular, React,NodeJS,Javascript / Typescript",0,English,No,,,51-100,95000,0,75000,22,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,10,Middle,,Java,,10,German,Yes,,,101-1000,67000,67000,,,,,,,,
,Munich,,,,,Full-time employee,,Other,Data Analyst ,7,0,Middle,,Python,"Python,SQL,Javascript / Typescript",0,English,No,,,11-50,63000,63000,,29,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,5,1,Middle,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,Docker",1,English,No,,,101-1000,65000,65000,60000,30,,,,,,
,Munich,,,,,Full-time employee,,Other,Data Analyst,5,1,Middle,,SQL,Python,0,English,No,,,101-1000,62000,62800,,,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,0,0,Junior,,Java,"Angular, React,Javascript / Typescript,SQL",0,"English,German,Russian",Yes,,,1000+,52000,55000,,30,,,,,,
,Munich,,,,,Full-time employee,,Other,QA Manager,15,6,Senior,,Java,AWS,,"English,German,Russian",No,,,1000+,80000,80000,70000,30,,,,,,
,Munich,,,,,Full-time employee,,Data Scientist,,8,8,Lead,,Python,Python,0,"English,German,Russian",Yes,,,1000+,105000,105000,60000,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,4,0,Middle,,Python,"R,SQL,AWS",4,"Russian,English",No,,,51-100,65000,65000,,28,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,15,7,Senior,,Java,"Javascript / Typescript,AWS",2,German,No,,,1000+,72500,96000,94500,30,,,,,,
,Munich,,,,,Full-time employee,,Data Scientist,,2,2,Junior,,Python,"Python,AWS,Docker,Other",0,English,Yes,,,1000+,55200,58200,52800,27,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,7,1,Middle,,PHP,,1,English,No,,,101-1000,60000,60000,60000,29,,,,,,
,Munich,,,,,Full-time employee,,ML Engineer,,3,3,Senior,,Python,"Docker,AWS,Other",0,English,Yes,,,51-100,75000,85000,57000,20,,,,,,
,Munich,,,,,Full-time employee,,Product Manager,,10,5,Senior,,Other,,5,"German,English,Russian",Yes,,,1000+,63000,63000,55000,30,,,,,,
,Munich,,,,,Full-time employee,,Other,SAP,5,2,Middle,,SAP / ABAP,Other,0,German,No,,,11-50,61000,7000,0,30,,,,,,
,Munich,,,,,Full-time employee,,Mobile Developer,,6,2,Senior,,Swift,,0,"English,Russian",No,,,1000+,75000,75000,62000,30,,,,,,
,Munich,,,,,Full-time employee,,Mobile Developer,,11,5,Lead,,Swift,"Python,C / C++,SQL",1,"English,German,Russian",No,,,51-100,75000,80000,66000,25,,,,,,
,Munich,,,,,Full-time employee,,Product Manager,,2,0,Middle,,Java,,2,English,No,,,1000+,74000,74000,,30,,,,,,
,Munich,,,,,Full-time employee,,Other,,7,5,Senior,,Other,,1,English,No,,,101-1000,92000,102000,78000,30,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,15,3,Senior,,PHP,Go,0,English,No,,,101-1000,83000,83000,70000,28,,,,,,
,Munich,,,,,Full-time employee,,Other,Vehicle Integration Engineer,9,2,Middle,,Python,Other,2,English,No,,,1000+,80800,97000,88000,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,5,4,Middle,,Java,"AWS,Terraform,Docker,Kubernetes",0,"English,German",Yes,,,1000+,76000,90000,56000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,10,5,Senior,,C# / .NET,"Python,Javascript / Typescript,Azure,Docker,Kubernetes",0,"English,German",No,,,1000+,90000,100000,90000,30,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,3,15,Middle,,Python,,1,English,No,,,101-1000,66000,75000,53000,32,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,11,6,Senior,,Go,"PHP,Javascript / Typescript,Docker,Kubernetes,Terraform,AWS",6,English,No,,,1000+,80000,85000,75000,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,14,0,Senior,,JavaScript / Typescript,"PHP,Kotlin,C# / .NET core",0,"Russian,English",No,,,101-1000,95000,105000,,30,,,,,,
,Munich,,,,,Full-time employee,,ML Engineer,,5,5,Lead,,Python,"SQL,AWS,Docker",5,"English,German",Yes,,,101-1000,87000,87000,80000,31,,,,,,
,Munich,,,,,Full-time employee,,Data Scientist,,7,7,Senior,,Other,"SQL,Azure,Other",6,"English,German",Yes,Python,,11-50,52000,65000,54000,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,15,5,Lead,,Other,"SQL,Azure,Other",10,English,No,Tableau,,1000+,90000,105000,100000,30,,,,,,
,Munich,,,,,Full-time employee,,Head / Principal / VP,,20,2,Lead,,JavaScript / Typescript,,2,English,No,,,101-1000,119000,119000,119000,27,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,6,5,Senior,,Java,"Javascript / Typescript,Angular, React,Python,Java / Scala,NodeJS,AWS,Azure",1,English,Yes,,,101-1000,70000,78200,65000,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,5,Senior,,C / C++,Python,2,English,No,,,11-50,87000,87000,85000,30,,,,,,
,Munich,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,12,2,Lead,,Other,,2,"English,Russian",No,,,101-1000,80000,80000,,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,6,4,Senior,,Kotlin,"Java / Scala,Javascript / Typescript,NodeJS,SQL,AWS,Terraform,Docker",1,English,No,,,101-1000,73500,72500,72500,28,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,24,5,Middle,,Java,"Javascript / Typescript,SQL",5,German,No,,,11-50,45600,0,1500,27,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,32,21,Lead,,C# / .NET,SQL,4,German,No,,,101-1000,95000,95000,85000,30,,,,,,
,Munich,,,,,Self-employed (freelancer),,Software Engineer,,20,20,Senior,,C / C++,"Python,C / C++,C# / .NET core,.NET,Other",20,"English,German,Russian",No,,,up to 10,,,,,80,2000,,,,
,Munich,,,,,Self-employed (freelancer),,Software / Solutions Architect,,20,11,Senior,,SAP / ABAP,,1,English,No,,,1000+,,,,,115,1750,20,,,
,Munich,,,,,Full-time employee,,Software Engineer,,17,3,Senior,,Java,"Javascript / Typescript,Google Cloud,Kubernetes,Docker,SQL,Angular",3,English,No,,,51-100,85000,90000,75000,27,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,10,4,Senior,,Python,"AWS,Terraform,Docker",0,English,No,,,1000+,85000,117000,92000,28,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,5,Senior,,JavaScript / Typescript, React,1,English,No,,,101-1000,65000,70000,60000,27,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,3,3,Middle,,JavaScript / Typescript, React,1,English,Yes,,,101-1000,65000,65000,59000,28,,,,,,
,Munich,,,,,Full-time employee,,Data Scientist,,4,0,Middle,,Python,,0,"English,Russian,German",No,,,51-100,60000,60000,,27,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,7,2,Senior,,Java,"Javascript / Typescript,Other",0,"English,Russian",No,,,101-1000,78000,78000,60000,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,17,7,Head,,C# / .NET,"Python,Azure,Other",7,"English,German",No,,,51-100,105000,130000,,30,,,,,,
,Munich,,,,,Full-time employee,,Head / Principal / VP,,14,7,Head,,Java,"Java / Scala,SQL,AWS,Kubernetes,Terraform,Docker",5,"English,Russian",No,,,101-1000,107000,107000,100000,28,,,,,,
,Munich,,,,,Part-time employee,,Software Engineer,,22,20,Senior,,C / C++,"Python,Javascript / Typescript,SQL,NodeJS,C / C++,C# / .NET core,.NET,Docker",3,"English,German",No,,,1000+,70000,70000,70000,24,,,,,,32
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,15,11,Lead,,C / C++,"Python,Other",4,"English,German",No,,,1000+,85000,15000,,30,,,,,,
,Munich,,,,,Full-time employee,,Other,SAP Consultant,10,5,Senior,,SAP / ABAP,"SQL,Other",0,"German,English",No,,,11-50,80000,94000,70000,30,,,,,,
,Munich,,,,,Full-time employee,,Product Manager,,5,5,Head,,Python,"Python,SQL",0,"English,German",Yes,,,101-1000,102000,102000,62000,28,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,9,1,Senior,,JavaScript / Typescript,"AWS,Kubernetes,Docker,PHP",1,English,No,,,101-1000,57600,62400,,28,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,7,0,Middle,,C# / .NET,"Python,Javascript / Typescript",0,English,No,,,11-50,57000,57000,,25,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,3,Senior,,JavaScript / Typescript," React,NodeJS,Javascript / Typescript",0,"English,German,Russian",Yes,,,11-50,70000,70000,,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,4,1,Senior,,JavaScript / Typescript," React,NodeJS,Docker",1,English,No,,,51-100,80000,80000,,26,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,1,1,Junior,,Go,Kubernetes,0,"German,English,Russian",Yes,,,1000+,53350,60000,48000,30,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,12,4,Senior,,C / C++,SQL,1,"English,Russian",No,,,1000+,70000,75000,41000,27,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,12,1,Senior,,PHP,,1,"English,Russian",No,,,101-1000,56000,0,,28,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,11,5,Senior,,Swift,Swift,2,English,No,,,101-1000,82875,82875,82875,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,13,5,Senior,,JavaScript / Typescript,"PHP,Javascript / Typescript, React",5,"English,Russian",No,,,101-1000,83000,0,,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,10,5,Senior,,Swift,,2,English,No,,,101-1000,88000,88000,88000,24,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,7,1,Senior,,Python,"Python,SQL,Kubernetes,Docker,Other",1,"English,Russian",No,,,51-100,88000,92000,,,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,3,1,Middle,,JavaScript / Typescript,"AWS,Java / Scala",0,"English,Russian",Yes,,,101-1000,66000,3300,,30,,,,,,
,Munich,,,,,Working student,,Software Engineer,,0,0,Junior,,C / C++,Other,0,German,Yes,,,51-100,17280,17280,,0,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,17,0,Senior,,Java,"C / C++,C# / .NET core,Javascript / Typescript,.NET,AWS,Kubernetes,Terraform,Docker",0,English,No,,,1000+,75000,75000,,30,,,,,,
,Munich,,,,,Full-time employee,,Other,Information Security Speialist,3,1,Junior,,Other,"Python,Java / Scala,Docker,Other",1,"Russian,English",No,,,1000+,60000,65000,,30,,,,,,
,Munich,,,,,Full-time employee,,Mobile Developer,,5,3,Middle,,Kotlin,"Java / Scala,Kotlin",3,"English,Russian",No,,,51-100,66000,66000,60000,25,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,5,Senior,,C / C++,"C / C++,Python",3,English,No,,,1000+,76000,0,,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,3,0,Lead,,PHP,"Javascript / Typescript,NodeJS,Go,SQL,AWS,Kubernetes,Terraform",0,English,No,,,101-1000,83000,83000,,28,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,8,2,Middle,,C / C++,"Python,Other",2,English,No,,,1000+,78420,85000,,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,10,2,Senior,,JavaScript / Typescript," React,NodeJS",2,"English,German",No,,,11-50,75000,75000,66000,30,,,,,,
,Munich,,,,,Full-time employee,,ML Engineer,,4,4,Senior,,Python,"Python,Kubernetes,Docker,AWS",4,English,Yes,,,1000+,85000,90000,83000,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,3,Middle,,JavaScript / Typescript," React,Go",3,"English,Russian",No,,,101-1000,82000,82000,74000,30,,,,,,
,Munich,,,,,Full-time employee,,DevOps,,5,2,Middle,,Bash,"AWS,Docker,Terraform,Azure",0,"English,Russian",No,,,101-1000,70000,70000,70000,29,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,14,5,Senior,,Kotlin,"Python,Kotlin,Java / Scala,Javascript / Typescript",2,"English,German,Russian",No,,,101-1000,76000,76000,70000,30,,,,,,
,Munich,,,,,Full-time employee,,BI Developer / Data Engineer,,2,1,Junior,,Other,"SQL,AWS,Azure,Docker,Other",1,"English,German",No,Ab Initio,,51-100,54000,54000,,30,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,11,8,Senior,,Ruby,"Python,Kotlin",5,English,No,,,101-1000,89000,89000,85000,27,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,4,4,Middle,,C / C++,,1,German,No,,,1000+,65000,3000,,30,,,,,,
,Munich,,,,,Full-time employee,,Other,CTO,21,21,Other,CTO,Java,"PHP,Angular,SQL,AWS,Kubernetes,Docker",1,"English,German",No,,,101-1000,120000,120000,120000,30,,,,,,
,Munich,,,,,Full-time employee,,Head / Principal / VP,,10,10,Head,,Ruby,Python,1,"English,German",Yes,,,51-100,110000,110000,,27,,,,,,
,Munich,,,,,Full-time employee,,Designer (UI/UX),,2,2,Middle,,Other,,3,English,No,,,101-1000,47400,47400,46200,30,,,,,,
,Munich,,,,,Full-time employee,,Other, Ingenieur,4,0,Middle,,Other,,0,English,No,,,1000+,130000,240000,,,,,,,,
,Munich,,,,,Full-time employee,,Mobile Developer,,11,30,Head,,Swift,Go,6,"English,German",Yes,,,51-100,108000,117000,107000,31,,,,,,
,Munich,,,,,Full-time employee,,Other,Program Manager,17,17,Senior,,Other,"Google Cloud,Azure,AWS,Terraform",4,"English,German",Not relevant to me,Cloud,,1000+,120500,185000,165500,30,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,12,5,Senior,,Kotlin,,11,"English,Russian",No,,,1000+,90000,100000,,25,,,,,,
,Munich,,,,,Full-time employee,,DevOps,,11,5,Senior,,Other,"Python,Docker,Terraform,Kubernetes,Azure,AWS",0,"Russian,English",No,yaml,,101-1000,105000,105000,,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,15,7,Senior,,Java,,7,"German,Russian,English",No,,,11-50,84000,90000,90000,28,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,10,4,Middle,,JavaScript / Typescript,Angular,4,English,No,,,101-1000,70500,70500,68000,30,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,8,2,Senior,,Java,,2,"English,German,Russian",No,,,1000+,78000,82800,67000,27,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,14,9,Lead,,Java,"Java / Scala,Kotlin,Python,SQL,AWS,Google Cloud,Kubernetes,Docker",0,"German,English,Russian",No,,,1000+,95000,135000,95000,30,,,,,,
,Munich,,,,,Full-time employee,,Other,SRE,17,1,Senior,,Python,"Python,Go,Other",1,English,No,,,1000+,108000,150000,,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,9,1,Senior,,Java,"Kotlin,Docker,Kubernetes",0,English,No,,,1000+,72000,72000,,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,1,0,Junior,,C / C++,"Javascript / Typescript,Python",0,English,No,,,1000+,72000,105000,,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,10,1,Lead,,JavaScript / Typescript," React,NodeJS,AWS",1,"English,Russian",No,,,101-1000,80000,100000,,28,,,,,,
,Munich,,,,,Full-time employee,,Other,Technical Consultant/Requirements Engineer ,1,1,Junior,,SQL,Python,1,"English,German",Yes,,,1000+,56000,56000,,30,,,,,,
,Munich,,,,,Full-time employee,,Engineering Manager,,18,10,Lead,,Swift,,6,"German,English",No,,,101-1000,80000,85000,80000,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,2,Middle,,JavaScript / Typescript,"Javascript / Typescript, React",2,English,No,,,101-1000,66780,66780,66780,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,15,6,Lead,,Other,,6,English,No,Information Security,,101-1000,105000,110000,92000,30,,,,,,
,Munich,,,,,Full-time employee,,Other,Engineer,15,15,Other,Expert,Other,"Python,C / C++,Javascript / Typescript,SQL,Other",5,"German,English,Russian",Not relevant to me,,,1000+,81000,85000,82000,35,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,22,9,Lead,,Python,"Javascript / Typescript,SQL,AWS,Terraform,Docker",0,"English,German",No,,,1000+,89000,94000,70000,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,6,Senior,,Java,Javascript / Typescript,2,English,No,,,1000+,96000,150000,120000,30,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,2,Senior,,JavaScript / Typescript,,2,English,No,,,1000+,76000,84000,71000,30,,,,,,
,Munich,,,,,Full-time employee,,Head / Principal / VP,,24,20,Head,,JavaScript / Typescript,"Python,Kotlin,C# / .NET core, React,NodeJS,Go,AWS,Other",1,"English,German,Russian",No,,,1000+,150000,150000,135000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,13,4,Lead,,C# / .NET,.NET,4,"English,Russian",No,,,51-100,77000,77000,72000,30,,,,,,
,Munich,,,,,Full-time employee,,BI Developer / Data Engineer,,10,3,Senior,,SQL,,3,English,No,,,1000+,87000,87000,85000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,14,5,Senior,,Java,"AWS,Kubernetes,Docker",2,"English,Russian",No,,,1000+,105000,136000,132000,28,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,6,5,Middle,,JavaScript / Typescript,Ruby,0,English,No,,,1000+,94000,109000,77000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,16,4,Lead,,Java,"Kubernetes,Terraform,Docker,AWS",0,English,No,,,11-50,100000,140000,85000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,15,15,Lead,,Java,"Java / Scala,Kubernetes,Terraform,Docker,Azure,AWS",0,"English,German",Yes,,,11-50,95000,0,0,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,16,2,Senior,,Java,Javascript / Typescript,2,English,No,,,1000+,94500,150000,135000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,7,7,Senior,,C / C++,"Python,Docker",2,"English,German",Yes,,,1000+,99000,180000,150000,30,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,14,3,Senior,,Java,"SQL,Docker",0,"English,German,Russian",No,,,1000+,68000,75000,65000,30,,,,,,
,Munich,,,,,Full-time employee,,Head / Principal / VP,,9,6,Head,,SQL,"Python,Kotlin,Java / Scala,SQL,AWS,Terraform,Docker",3,English,No,,,51-100,110000,110000,98000,30,,,,,,
,Munich,,,,,Full-time employee,,QA Engineer,,18,4,Middle,,Python,"Python,Go,Kubernetes,AWS,Docker",4,English,No,,,51-100,68000,68000,,25,,,,,,
,Munich,,,,,Full-time employee,,Other,Business Analyst,6,6,Senior,,JavaScript / Typescript,"Docker,Angular",3,German,Yes,,,51-100,68000,72000,65000,40,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,8,4,Senior,,Java,Javascript / Typescript,2,English,No,,,51-100,75000,79000,75000,29,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,22,4,Senior,,Java,SQL,0,English,No,,,101-1000,90000,90000,84000,28,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,9,2,Senior,,Java,,2,English,No,,,1000+,80000,80000,72000,30,,,,,,
,Munich,,,,,Full-time employee,,Other,,8,4,Lead,,Python,Python,6,"English,Russian",No,,,1000+,44000,45000,,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,10,3,Lead,,Java,"Java / Scala,Javascript / Typescript,SQL,AWS,Terraform,Docker",3,"English,German",No,,,11-50,80000,85000,80000,30,,,,,,
,Munich,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,19,6,Lead,,Other,"Terraform,Docker,Other",0,English,No,Yaml,,11-50,89000,110000,88000,,,,,,,
,Munich,,,,,Full-time employee,,Frontend Developer,,2,15,Middle,,JavaScript / Typescript, React,15,English,No,,,101-1000,60000,60000,24000,"27,5",,,,,,
,Munich,,,,,Full-time employee,,Product Manager,,3,1,Junior,,Other,,1,English,No,,,11-50,36000,36000,,,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,12,5,Lead,,C# / .NET,".NET,C# / .NET core,Javascript / Typescript,Azure",0,English,No,,,1000+,95000,105000,86000,30,,,,,,
,Munich,,,,,Full-time employee,,Backend Developer,,1,15,Junior,,Scala,"Javascript / Typescript,SQL,Docker,Kubernetes,AWS",1,English,Yes,,,101-1000,55000,57200,,30,,,,,,
,Munich,,,,,Full-time employee,,C-level (CTO / CEO / ...),,10,10,Head,,Other,,5,"English,German",Yes,,,101-1000,160000,160000,160000,30,,,,,,
,Munich,,,,,Full-time employee,,DevOps,,13,13,Senior,,Other,"AWS,Kubernetes,Terraform,Docker",3,"English,German",No,HCL,,101-1000,70000,70000,67000,29,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,8,3,Senior,,JavaScript / Typescript,"C# / .NET core,Python,Angular, React,Javascript / Typescript,NodeJS,.NET,SQL,Docker,Kubernetes",2,"German,English",No,,,101-1000,72000,72000,68000,28,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,14,4,Lead,,PHP,"Javascript / Typescript,Go,AWS,Docker",3,"English,German",No,,,101-1000,85500,85500,82500,30,,,,,,
,Munich,,,,,Part-time employee,,DevOps,,5,5,Senior,,Other,"Docker,Terraform,AWS,Kubernetes",0,"English,German",Yes,Terraform,,101-1000,76000,76000,35000,29,,,,,,35
,Munich,,,,,Full-time employee,,Software Engineer,,7,7,Middle,,PHP,"Angular,Javascript / Typescript,PHP,Docker,SQL",2,"English,German",No,,,101-1000,65000,65000,65000,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,1,Senior,,PHP,"Go,Docker,Kubernetes",0,English,No,,,101-1000,75000,75000,65000,30,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,15,15,Lead,,JavaScript / Typescript,"PHP,Angular,NodeJS,SQL,Docker",5,"English,German",No,,,101-1000,84000,84000,81000,30,,,,,,
,Munich,,,,,Full-time employee,,Mobile Developer,,7,4,Senior,,Kotlin,"Java / Scala,Kotlin,Python,Other",4,"English,German",No,,,51-100,78000,78000,72000,29,,,,,,
,Munich,,,,,Full-time employee,,Tech Lead / Team Lead,,8,8,Lead,,Other,"Go,SQL,AWS,Kubernetes,Terraform,Docker",4,"English,German",Yes,Docker,,101-1000,78000,78000,70000,29,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,2,Senior,,Java,,0,English,No,,,1000+,95000,121000,90000,30,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,10,2,Senior,,JavaScript / Typescript,Angular,1,English,No,,,101-1000,85000,90000,75000,80000,,,,,,
,Munich,,,,,Full-time employee,,DevOps,,8,3,Middle,,Go,"AWS,Kubernetes,Docker,Other",2,English,No,,,101-1000,67000,67000,67000,30,,,,,,
,Munich,,,,,Full-time employee,,Software / Solutions Architect,,15,10,Senior,,Other,"Python,C# / .NET core,Javascript / Typescript,.NET,AWS,Docker,Other,Kubernetes,Go,SQL",0,"English,German,Russian",No,AWS,,1000+,90000,120000,100000,28,,,,,,
,Munich,,,,,Full-time employee,,Software Engineer,,6,4,Senior,,PHP,"Go,Docker,SQL",3,English,No,,,101-1000,68700,68700,60000,29,,,,,,
,Munich,,,,,Full-time employee,,BI Developer / Data Engineer,,1,1,Junior,,SQL,R,,"English,German",Yes,,,101-1000,56000,56000,,30,,,,,,
,Munich,,,,,Full-time employee,,Data Scientist,,5,3,Senior,,Python,"R,SQL,Other",3,"Russian,English",No,,,51-100,69000,70000,65000,25,,,,,,
